Scientific,Common,SpeciesVal 
Dicranum,fork-mosses,1
Diervilla,,1
Diervilla lonicera,northern bush honeysuckle,13
Digitalis,Foxgloves,2
Digitalis grandiflora,Yellow Foxglove,1
Digitalis lanata,Woolly Foxglove,2
Digitalis purpurea,purple foxglove,1
Digitaria,Crabgrasses,1
Digitaria sanguinalis,Hairy Crabgrass,1
Dimorphotheca,Afro-Australian daisies,1
Dimorphotheca fruticosa,trailing African daisy,1
Dioscorea polystachya,Chinese yam,1
Diphylleia cymosa,Umbrella-leaf,1
Diplotaxis,Wall-Rockets,2
Diplotaxis muralis,annual wall-rocket,1
Diplotaxis tenuifolia,Perennial Wall-rocket,2
Dipsacales,honeysuckles, moschatels, and allies,4
Dipsacus,teasels,5
Dipsacus fullonum,Fuller's teasel,42
Doellingeria umbellata,flat-top white aster,1
Draba verna,Common Whitlowgrass,3
Drepanocladus aduncus,Knieff's hook-moss,1
Drymocallis arguta,Tall Cinquefoil,1
Dryopteris,wood ferns,1
Dryopteris intermedia,intermediate wood fern,4
Dryopteris marginalis,marginal wood fern,10
Duranta erecta,skyflower,1
Echinacea,coneflowers,7
Echinacea purpurea,purple coneflower,29
Echinochloa,Barnyard Grasses,1
Echinochloa crus-galli,barnyardgrass,1
Echinocystis,,1
Echinocystis lobata,wild cucumber,11
Echinops,Globe thistles,9
Echinops ritro,southern globe thistle,6
Echium,Viper's-buglosses,1
Echium vulgare,viper's-bugloss,19
Elaeagnus,,1
Elaeagnus angustifolia,Russian olive,11
Elaeagnus umbellata,autumn olive,12
Eleocharis palustris,Common Spike-rush,3
Elymus,wild ryes and wheat grasses,4
Elymus canadensis,Canada wild rye,3
Elymus hystrix,bottlebrush grass,4
Elymus repens,Quack Grass,9
Elymus virginicus,Virginia wildrye,3
Entodon,,2
Entodon cladorrhizans,,3
Entodon seductrix,seductive entodon moss,4
Epifagus virginiana,Beechdrops,1
Epilobium,willowherbs,2
Epilobium brachycarpum,panicled willowherb,1
Epilobium ciliatum,fringed willowherb,2
Epilobium coloratum,Cinnamon Willow-herb,8
Epilobium hirsutum,Great Willowherb,8
Epilobium parviflorum,Hoary Willowherb,9
Epimedium,,1
Epimedium × rubrum,,1
Epipactis helleborine,broad-leaved helleborine,6
Equisetidae,horsetails,1
Equisetum,horsetails,7
Equisetum arvense,field horsetail,31
Equisetum fluviatile,water horsetail,1
Equisetum hyemale,rough horsetail,8
Equisetum variegatum,variegated horsetail,1
Eranthis hyemalis,Winter Aconite,4
Erechtites hieraciifolius,fireweed,1
Erigeron,Fleabanes and Horseweeds,26
Erigeron annuus,annual fleabane,13
Erigeron canadensis,horseweed,13
