Scientific,Common,SpeciesVal 
Polypodiales,,6
Polypodiopsida,ferns,1
Polypodium virginianum,rock polypody,4
Polytrichum,haircap mosses,1
Polytrichum commune,common haircap moss,1
Polytrichum juniperinum,juniper haircap moss,1
Pontederia,,1
Pontederia cordata,pickerelweed,9
Populus,poplars, cottonwoods, and aspens,5
Populus alba,white poplar,2
Populus balsamifera,balsam poplar,8
Populus deltoides,eastern cottonwood,2
Populus grandidentata,bigtooth aspen,13
Populus tremuloides,trembling aspen,14
Portulaca,purslanes,1
Potamogeton,Pondweed,2
Potamogeton crispus,Crisp-leaved Pondweed,2
Potamogeton natans,floating-leaved pondweed,1
Potamogeton richardsonii,Richardson's pondweed,1
Potamogetonaceae,pondweed family,2
Potentilla,cinquefoils,10
Potentilla argentea,silverleaf cinquefoil,8
Potentilla norvegica,rough cinquefoil,3
Potentilla recta,sulphur cinquefoil,16
Potentilla simplex,common cinquefoil,1
Potentilleae,strawberries, cinquefoils, and allies,1
Primula elatior,Oxlip,1
Proserpinaca palustris,marsh mermaidweed,1
Prunella vulgaris,common selfheal,18
Prunus,plums, cherries, and allies,4
Prunus emarginata,Bitter cherry,3
Prunus nigra,Canada plum,6
Prunus pensylvanica,fire cherry,8
Prunus serotina,black cherry,7
Prunus virginiana,chokecherry,24
Pseudognaphalium,rabbit-tobaccos,1
Pteridium,brackens,1
Pteridium aquilinum,common bracken,15
Pyrola elliptica,shinleaf,1
Quercus,North American white oaks,3
Quercus alba,white oak,8
Quercus macrocarpa,bur oak,14
Quercus rubra,northern red oak,26
Ranunculaceae,buttercup family,3
Ranunculus,buttercups,4
Ranunculus acris,meadow buttercup,11
Ranunculus aquatilis,common water-crowfoot,1
Ranunculus fascicularis,Early Buttercup,9
Ranunculus recurvatus,Hooked buttercup,6
Ranunculus reptans,Creeping Spearwort,1
Ranunculus sceleratus,cursed crowfoot,2
Reynoutria japonica,Japanese knotweed,2
Rhamnaceae,buckthorn family,1
Rhamnus alnifolia,Alderleaf Buckthorn,3
Rhamnus cathartica,common buckthorn,28
Rheum rhabarbarum,Rhubarb,1
Rhexia virginica,Virginia meadow beauty,1
Rhododendron groenlandicum,Labrador tea,5
Rhus aromatica,fragrant sumac,16
Rhus typhina,staghorn sumac,25
Rhynchospora alba,White Beak-sedge,2
Rhytidiadelphus triquetrus,Big Shaggy-moss,2
Ribes,currants,2
